Alaska,AK,733391
Arizona,AZ,7151502
California,CA,39538223
Colorado,CO,5773714
Connecticut,CT,3605944
Delaware,DE,989948
Hawaii,HI,1455271
Idaho,ID,1839106
Illinois,IL,12812508
Indiana,IN,6785528
Iowa,IA,3190369
Kansas,KS,2937880
Kentucky,KY,4505836
Maine,ME,1362359
Maryland,MD,6177224
Massachusetts,MA,7029917
Michigan,MI,10077331
Minnesota,MN,5706494
Missouri,MO,6154913
Montana,MT,1084225
Nebraska,NE,1961504
Nevada,NV,3104614
New Hampshire,NH,1377529
New Jersey,NJ,9288994
New Mexico,NM,2117522
New York,NY,20201249
North Dakota,ND,779094
Ohio,OH,11799448
Oklahoma,OK,3959353
Oregon,OR,4237256
Pennsylvania,PA,13002700
Rhode Island,RI,1097379
South Dakota,SD,886667
Utah,UT,3271616
Vermont,VT,643077
Washington,WA,7705281
West Virginia,WV,1793716
Wisconsin,WI,5893718
Wyoming,WY,576851
